STR_CODE,STR_NAME,STR_TYPE,FULL_NAME,STR_STATUS,PST_CLASS,OWN,DATE_ACCEPT,SOURCE,FDMID,OLD_FDMID,GSA_NAME,DATE_ACT,SYS_DATE,SHAPE_LENGTH,PID,ACQDISTYPE
9999,MAIN,ST,MAIN ST,OPEN,LOCAL STREET,HRM,NULL,SD,100002267,0,BEDFORD,2001-10-19 00:00:00.0000000,2020-11-09 00:00:00.0000000,132.731347900379,40917866,NULL
9999,NORTH,ST,NORTH ST,OPEN,ARTERIAL,HRM,NULL,CA,300001337,0,HALIFAX,2001-11-04 00:00:00.0000000,2020-11-09 00:00:00.0000000,208.27083514287,40925406,NULL
9999,OAKRIDGE,DR,OAKRIDGE DR,OPEN,LOCAL STREET,HRM,NULL,CR,100001826,0,BEDFORD,2001-09-14 00:00:00.0000000,2020-11-09 00:00:00.0000000,103.870115343492,40917098,NULL
9999,BROOKFIELD,AVE,BROOKFIELD AVE,OPEN,LOCAL STREET,HRM,NULL,DM,200002928,0,COLE HARBOUR,2001-09-24 00:00:00.0000000,2022-09-12 18:54:21.0000000,75.4954838768095,40950164,NULL
9999,WOODCREST,AVE,WOODCREST AVE,OPEN,LOCAL STREET,HRM,NULL,CA,300002666,0,HALIFAX,2001-12-05 00:00:00.0000000,2022-09-12 18:54:21.0000000,59.2225303414792,40892317,NULL
9999,BIRCHWOOD,TERR,BIRCHWOOD TERR,OPEN,LOCAL STREET,HRM,NULL,DM,700000597,200002872,DARTMOUTH,2001-11-13 00:00:00.0000000,2020-11-09 00:00:00.0000000,93.6955921572697,40941577,TRANSFER
9999,ANCONA,PL,ANCONA PL,OPEN,LOCAL STREET,HRM,NULL,DM,200002459,0,DARTMOUTH,2001-10-22 00:00:00.0000000,2022-09-12 18:54:21.0000000,254.678082934509,40943318,SOLD
9999,COCKBURN,DR,COCKBURN DR,OPEN,LOCAL STREET,HRM,NULL,DM,100002179,0,LOWER SACKVILLE,2001-07-20 00:00:00.0000000,2020-11-09 00:00:00.0000000,74.4997431098835,40914293,NULL
9999,RAVENROCK,LANE,RAVENROCK LANE,OPEN,LOCAL STREET,HRM,NULL,DM,700007619,300000614,HALIFAX,2001-12-05 00:00:00.0000000,2020-11-09 00:00:00.0000000,52.4315664260179,40922957,NULL
9999,RAVENROCK,LANE,RAVENROCK LANE,OPEN,LOCAL STREET,HRM,NULL,DM,700007620,300000614,HALIFAX,2011-02-23 00:00:00.0000000,2020-11-09 00:00:00.0000000,62.5468100195021,40922957,NULL
9999,TANGMERE,CRT,TANGMERE CRT,OPEN,LOCAL STREET,HRM,NULL,DM,700007618,300000639,HALIFAX,2011-02-23 00:00:00.0000000,2020-11-09 00:00:00.0000000,43.103562925227,40922882,NULL
9999,COBEQUID,RD,COBEQUID RD,OPEN,MAJOR COLLECTOR,HRM,NULL,DM,100001345,0,LOWER SACKVILLE,2001-12-03 00:00:00.0000000,2020-11-09 00:00:00.0000000,148.455662310329,40914897,SOLD
9999,HENRY,AVE,HENRY AVE,OPEN,LOCAL STREET,HRM,1999-02-16 00:00:00.0000000,SD,100002265,0,FALL RIVER,2001-12-12 00:00:00.0000000,2020-11-09 00:00:00.0000000,336.611055802964,40706806,NULL
9999,MIDDLE,ST,MIDDLE ST,OPEN,LOCAL STREET,HRM,NULL,CS,200001879,0,DARTMOUTH,2001-11-16 00:00:00.0000000,2020-11-09 00:00:00.0000000,226.27792140823,40938656,PURCHASE
