OBJECTID,FCODE,STR_NAME,STR_TYPE,FULL_NAME,MUN_CODE,FROM_STR,TO_STR,STR_DIR,STR_STATUS,ST_CLASS,OWN,DATE_ACCEPT,STR_REM,FLAGS,PSAB_CODE,FDMID,ROUTE_ID,FROM_LEFT,TO_LEFT,FROM_RIGHT,TO_RIGHT,OLD_FDMID,GSA_LEFT,GSA_RIGHT,PAR_LEFT,PAR_RIGHT,STR_CODE_L,STR_CODE_R,ASSETID,ADDDATE,MODDATE,ORIGIN_DATE,MAINTENANCE,Shape_Length
295,RRRDLG60,VILLAGE,RD,VILLAGE RD,HRM,HARRIGANS RD,SILKY LANE,BOTH,OPEN,LOCAL STREET,HRM,,,,CA,300002820,3616,194,214,193,215,0,HERRING COVE,HERRING COVE,EL,OR,5520,5520,ST7232,12/6/2001 0:00:00,5/12/2025 17:53:09,,WSZ4,123.900133864999873
296,RRRD,SACKVILLE,ST,SACKVILLE ST,HRM,SOUTH PARK ST,SACKVILLE ST,BOTH,OPEN,MINOR COLLECTOR,HRM,,,,CA,300001678,3853,5650,5812,5651,5813,0,HALIFAX,HALIFAX,EL,OR,726,726,ST7030,12/29/2001 0:00:00,,,W1,280.953653914062158
297,RRRD,CHEBUCTO,RD,CHEBUCTO RD,HRM,JOSEPH ST,CHEBUCTO RD,BOTH,OPEN,ARTERIAL,HRM,,,,CS,300001735,3628,7050,7094,7051,7095,0,HALIFAX,HALIFAX,EL,OR,169,169,ST13844,11/9/2001 0:00:00,,,W1,106.462458700052636
298,RRRD,QUINPOOL,RD,QUINPOOL RD,HRM,QUINPOOL RD,WINDSOR ST,FOTD,OPEN,ARTERIAL,HRM,,,,DM,700004789,3630,0,0,6009,6037,,HALIFAX,HALIFAX,NAR,OR,675,675,ST15298,9/21/2007 0:00:00,,,W1,50.536444222553150
299,RRRD,VOYAGEUR,WAY,VOYAGEUR WAY,HRM,HAMMONDS PLAINS RD,VOYAGEUR WAY,FOTD,OPEN,MINOR COLLECTOR,HRM,6/1/2004 0:00:00,,,DM,700003185,3673,0,0,1,33,0,HAMMONDS PLAINS,HAMMONDS PLAINS,NAR,OR,15691,15691,ST15505,2/7/2002 0:00:00,,,WSZ3,121.961604043219225
300,RRRD,VOYAGEUR,WAY,VOYAGEUR WAY,HRM,APPALOOSA RUN,CITATION DR,BOTH,OPEN,MINOR COLLECTOR,HRM,6/1/2004 0:00:00,,,DM,700006808,3673,46,96,47,97,0,HAMMONDS PLAINS,HAMMONDS PLAINS,EL,OR,15691,15691,ST13736,2/7/2002 0:00:00,,,WSZ3,161.202849041990021
301,RRRD,VOYAGEUR,WAY,VOYAGEUR WAY,HRM,DRESSAGE ROW,HARNESS TRL,BOTH,OPEN,MINOR COLLECTOR,HRM,6/1/2004 0:00:00,,,DM,700500177,3673,164,182,165,183,700008462,HAMMONDS PLAINS,HAMMONDS PLAINS,EL,OR,15691,15691,ST50177,8/13/2025 18:59:29,8/13/2025 19:02:20,,WSZ3,62.280356152093297
302,RRRD,VOYAGEUR,WAY,VOYAGEUR WAY,HRM,HARNESS TRL,IRONWOOD LANE,BOTH,OPEN,MINOR COLLECTOR,HRM,6/1/2004 0:00:00,,,DM,700500172,3673,184,188,185,189,100002580,HAMMONDS PLAINS,HAMMONDS PLAINS,EL,OR,15691,15691,ST50172,8/12/2025 16:09:19,8/12/2025 17:51:52,,WSZ3,17.666564535903127
303,RRRD,VOYAGEUR,WAY,VOYAGEUR WAY,HRM,ISHAM GATE,KIGER WAY,BOTH,OPEN,MINOR COLLECTOR,HRM,6/1/2004 0:00:00,,,DM,700500174,3673,202,202,203,203,700002492,HAMMONDS PLAINS,HAMMONDS PLAINS,EL,OR,15691,15691,ST50174,8/12/2025 17:56:41,8/12/2025 17:57:28,,WSZ3,9.653665420371583
304,RRRD,VOYAGEUR,WAY,VOYAGEUR WAY,HRM,LIPIZZAN LANE,MARTINGALE DR,BOTH,OPEN,MINOR COLLECTOR,HRM,6/1/2004 0:00:00,,,DM,700002494,3673,248,272,249,273,100002580,HAMMONDS PLAINS,HAMMONDS PLAINS,EL,OR,15691,15691,ST4924,2/7/2002 0:00:00,10/4/2024 15:04:01,,WSZ3,90.344553393837089
305,RRRD,VOYAGEUR,WAY,VOYAGEUR WAY,HRM,MUSTANG RUN,PALFREY GATE,BOTH,OPEN,MINOR COLLECTOR,HRM,6/1/2004 0:00:00,,,DM,700002495,3673,280,296,281,297,100002580,HAMMONDS PLAINS,HAMMONDS PLAINS,EL,OR,15691,15691,ST4535,2/7/2002 0:00:00,9/17/2020 0:00:00,,WSZ3,53.546248785547228
306,RRRD,VOYAGEUR,WAY,VOYAGEUR WAY,HRM,PALFREY GATE,PINTO CL,BOTH,OPEN,MINOR COLLECTOR,HRM,6/1/2004 0:00:00,,,DM,700002496,3673,298,316,299,317,100002580,HAMMONDS PLAINS,HAMMONDS PLAINS,EL,OR,15691,15691,ST5200,2/7/2002 0:00:00,,,WSZ3,64.794834312575475
307,RRRD,VOYAGEUR,WAY,VOYAGEUR WAY,HRM,REINING WAY,SADDLEBACK RD,BOTH,OPEN,MINOR COLLECTOR,HRM,3/18/2008 0:00:00,,,SD,700002499,3673,360,542,361,543,100002580,HAMMONDS PLAINS,HAMMONDS PLAINS,EL,OR,15691,15691,ST16318,2/7/2002 0:00:00,,,WSZ3,564.119897873835725
308,RRRD,VOYAGEUR,WAY,VOYAGEUR WAY,HRM,CANOE CRES,LUKA LANE,BOTH,OPEN,MINOR COLLECTOR,HRM,12/13/2012 0:00:00,,,SD,700008442,3673,768,952,769,953,700008358,HAMMONDS PLAINS,HAMMONDS PLAINS,EL,OR,15691,15691,ST16979,11/15/2012 0:00:00,10/4/2024 15:04:01,,WSZ3,570.169816529132618
309,RRRDLJ80,CONFEDERATION,AVE,CONFEDERATION AVE,HRM,SANDSTONE AVE,FLEETWOOD DR,BOTH,OPEN,LOCAL STREET,HRM,,,,CS,100002590,3676,2,56,1,55,0,FALL RIVER,FALL RIVER,EL,OR,7321,7321,ST4357,12/14/2001 0:00:00,6/27/2025 17:33:12,,WSZ2,806.354933112047661
310,RRRDLJ80,CONFEDERATION,AVE,CONFEDERATION AVE,HRM,MITCH LANE,CELEBRATION DR,BOTH,OPEN,LOCAL STREET,HRM,12/13/2002 0:00:00,,,DM,100002589,3676,76,144,77,145,700009805,FALL RIVER,FALL RIVER,EL,OR,7321,7321,ST7621,12/14/2001 0:00:00,4/4/2025 14:28:53,,WSZ2,583.613090578183233
311,RRRD,CONFEDERATION,AVE,CONFEDERATION AVE,HRM,KILMORY LANE,END,BOTH,OPEN,LOCAL STREET,HRM,5/23/2014 0:00:00,,,SD,700009679,3676,148,388,149,389,,FALL RIVER,FALL RIVER,EL,OR,7321,7321,ST17166,5/9/2014 0:00:00,4/4/2025 14:28:53,,WSZ2,1107.486248587459158
312,RRRD,CUTTER,DR,CUTTER DR,HRM,OUTRIGGER CRES,FLEETVIEW DR,BOTH,OPEN,LOCAL STREET,HRM,12/7/2017 0:00:00,,,DM,300003649,3688,22,222,21,223,700010952,HALIFAX,HALIFAX,EL,OR,15689,15689,ST12180,1/14/2002 0:00:00,12/7/2017 0:00:00,,WSZ3,628.533475784259281
313,RRRD,FLEETVIEW,DR,FLEETVIEW DR,HRM,ALAMIR CRT,CUTTER DR,BOTH,OPEN,LOCAL STREET,HRM,3/13/2018 0:00:00,,,SD,700011008,3689,154,262,155,263,700010320,HALIFAX,HALIFAX,EL,OR,15687,15687,ST48235,3/15/2018 0:00:00,7/27/2018 0:00:00,,WSZ3,332.292914765023966
314,RRRD,FLEETVIEW,DR,FLEETVIEW DR,HRM,TOTTENHAM ST,STARBOARD DR,BOTH,OPEN,LOCAL STREET,HRM,10/19/2016 0:00:00,,,SD,700010951,3689,360,400,361,399,700010320,HALIFAX,HALIFAX,EL,OR,15687,15687,ST48178,12/5/2017 0:00:00,10/4/2024 15:04:01,,WSZ3,144.771395626222500
315,RRRD,BOSUN,RUN,BOSUN RUN,HRM,FLEETVIEW DR,COPPERMOON CRT,BOTH,OPEN,LOCAL STREET,HRM,4/8/2013 0:00:00,,,DM,700008571,3690,2,124,1,125,300003644,HALIFAX,HALIFAX,EL,OR,15688,15688,ST10677,4/16/2013 0:00:00,6/2/2014 0:00:00,,WSZ3,390.652478777958095
316,RRRD,NOTTING HILL,RD,NOTTING HILL RD,HRM,EMILY CRT,END,BOTH,OPEN,LOCAL STREET,HRM,1/3/2017 0:00:00,,,DM,400001352,3695,84,386,85,387,700010646,MINEVILLE,MINEVILLE,EL,OR,15681,15681,ST4128,1/4/2002 0:00:00,4/15/2019 0:00:00,,WSZ1,918.072832274378129
317,RRRDLG60,CANDY MOUNTAIN,RD,CANDY MOUNTAIN RD,HRM,GOOSE LAKE RD,SHORELINE DR,BOTH,OPEN,LOCAL STREET,HRM,6/1/2022 0:00:00,,,DM,400000586,3696,64,228,59,227,0,MINEVILLE,MINEVILLE,EL,OR,7207,7207,ST10743,10/1/2001 0:00:00,10/4/2024 15:04:01,,WSZ1,1023.504552548127322
318,RRRD,CUNARD,ST,CUNARD ST,HRM,CUNARD ST,PRINCESS PL,FOTD,OPEN,ARTERIAL,HRM,,,,DM,700004820,3796R,5860,5872,0,0,,HALIFAX,HALIFAX,EL,NAR,235,235,ST15343,9/21/2007 0:00:00,3/28/2025 16:42:06,,W1,42.612421207963351
319,RRRD,DUFFUS,ST,DUFFUS ST,HRM,BARRINGTON ST,DUFFUS ST,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,CA,300000203,3727,5212,5228,5213,5229,0,HALIFAX,HALIFAX,EL,OR,272,272,ST12436,12/22/2001 0:00:00,,,W2,39.838087407959421
320,RRRD,WASHMILL LAKE,DR,WASHMILL LAKE DR,HRM,WASHMILL LAKE DR,GRANDHAVEN BLVD,BOTH,OPEN,MAJOR COLLECTOR,HRM,12/8/2011 0:00:00,,,DM,700008453,381,50,302,51,303,700008395,HALIFAX,HALIFAX,EL,OR,15265,15265,ST1734,12/10/2012 0:00:00,1/31/2025 16:39:24,,W3,792.029869596618710
321,RRRD,WASHMILL LAKE,DR,WASHMILL LAKE DR,HRM,BENTLY DR,KRAAL TERR,BOTH,OPEN,MAJOR COLLECTOR,HRM,7/7/2008 0:00:00,,,DM,700003921,381,510,552,511,553,0,HALIFAX,HALIFAX,EL,OR,15265,15265,ST2715,12/10/2001 0:00:00,1/16/2015 0:00:00,,W3,133.050138686934787
322,RRRD,DEVONSHIRE,AVE,DEVONSHIRE AVE,HRM,VEITH ST,VINCENT ST,FOTD,OPEN,MAJOR COLLECTOR,HRM,,,,DM,300000403,3734,0,0,3107,3189,0,HALIFAX,HALIFAX,NAR,OR,252,252,ST15597,12/22/2001 0:00:00,,,W2,190.860628969358260
323,RRRD,ROBIE,ST,ROBIE ST,HRM,COMPTON AVE,ROBIE ST,BOTH,OPEN,ARTERIAL,HRM,,,,DM,700004821,3738,2156,2164,2155,2165,,HALIFAX,HALIFAX,EL,OR,701,701,ST14872,9/21/2007 0:00:00,2/6/2025 18:20:14,,W1,27.442630649542508
324,RRRD,ROBIE,ST,ROBIE ST,HRM,ROBIE ST,CUNARD ST,BOTH,OPEN,ARTERIAL,HRM,,,,DM,700004816,3738,2166,2180,2167,2181,,HALIFAX,HALIFAX,EL,OR,701,701,ST15342,9/21/2007 0:00:00,2/6/2025 18:20:14,,W1,38.800315258238122
325,RRRD,ROBIE,ST,ROBIE ST,HRM,ROBIE ST,CUNARD ST,FOTD,OPEN,ARTERIAL,HRM,,,TL,DM,700004815,3738B2,0,0,0,0,,HALIFAX,HALIFAX,NAR,NAR,701,701,ST15341,9/21/2007 0:00:00,4/12/2024 15:06:48,,W1,51.262340433640055
326,RRRD,RAINNIE,DR,RAINNIE DR,HRM,COGSWELL ST,TA13 RD,FOTD,OPEN,MINOR COLLECTOR,HRM,,,,DM,700501161,3828,5628,5634,5629,5635,700004794,HALIFAX,HALIFAX,EL,OR,677,677,ST51183,3/26/2026 12:19:24,3/26/2026 19:19:46,,W1,35.015985872334824
327,RRRD,SUSIE LAKE,CRES,SUSIE LAKE CRES,HRM,HORSESHOE LAKE DR,HOBSONS LAKE DR,FOTD,OPEN,MAJOR COLLECTOR,HRM,,,,DM,700005396,382R,0,0,171,239,700011018,BEECHVILLE,BEECHVILLE,NAR,OR,1053,1053,ST14965,10/3/2007 0:00:00,6/3/2025 11:45:35,,WSZ4,266.374973660387013
328,RRRD,SUSIE LAKE,CRES,SUSIE LAKE CRES,HRM,HOBSONS LAKE DR,JULIUS BLVD,FOTD,OPEN,MAJOR COLLECTOR,HRM,7/15/2020 0:00:00,,,CS,700011062,382R,0,0,241,419,700011125,BEECHVILLE,BEECHVILLE,NAR,OR,1053,1053,ST48289,8/2/2018 0:00:00,10/4/2024 15:04:01,,WSZ4,687.548204303489570
329,RRRD,WINDSOR,ST,WINDSOR ST,HRM,MAXWELL AVE,HOOD ST,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,CA,300000610,3749,3370,3498,3371,3499,0,HALIFAX,HALIFAX,EL,OR,877,877,ST8250,12/16/2001 0:00:00,8/13/2021 17:59:40,,W2,252.949452748833721
330,RRRD,QUEEN,ST,QUEEN ST,HRM,QUEEN ST,CLYDE ST,BOTH,OPEN,MINOR COLLECTOR,HRM,,,,CA,300001883,3879,1300,1398,1301,1399,0,HALIFAX,HALIFAX,EL,OR,673,673,ST3261,12/26/2001 0:00:00,,,W1,137.573043637259900
331,RRRD,AGRICOLA,ST,AGRICOLA ST,HRM,AGRICOLA ST,CUNARD ST,FOTD,OPEN,MAJOR COLLECTOR,HRM,,,,DM,700004811,3755R,2300,2318,0,0,700004812,HALIFAX,HALIFAX,EL,NAR,8,8,ST15304,9/21/2007 0:00:00,,,W1,26.721045510383274
332,RRRD,BILBY,ST,BILBY ST,HRM,GOTTINGEN ST,ISLEVILLE ST,FOTD,OPEN,LOCAL STREET,HRM,,,,CA,700501203,3758R,5500,5598,5501,5599,0,HALIFAX,HALIFAX,EL,OR,84,84,ST51238,4/14/2026 14:44:47,4/14/2026 14:44:47,,W2,140.080021997407698
333,RRRD,ALMON,ST,ALMON ST,HRM,ROBIE ST,KING,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,DM,300000772,3760,6000,6036,6001,6037,0,HALIFAX,HALIFAX,EL,OR,20,20,ST6072,12/22/2001 0:00:00,2/6/2025 18:20:14,,W2,70.876245826813616
334,RRRD,CUNARD,ST,CUNARD ST,HRM,CUNARD ST,CUNARD ST,BOTH,OPEN,ARTERIAL,HRM,,,,DM,300001209,3796,5874,5886,5875,5887,0,HALIFAX,HALIFAX,EL,OR,235,235,ST14223,12/23/2001 0:00:00,2/6/2025 18:20:14,,W1,55.573941343163270
335,RRRD,CUNARD,ST,CUNARD ST,HRM,AGRICOLA ST,MORAN ST,FOTD,OPEN,ARTERIAL,HRM,,,,DM,700004808,3796,0,0,5755,5789,0,HALIFAX,HALIFAX,NAR,OR,235,235,ST14870,12/23/2001 0:00:00,4/12/2024 15:06:48,,W1,53.266919666027540
336,RRRD,BARRINGTON,ST,BARRINGTON ST,HRM,NORA BERNARD ST,ALM-# RAMP,BOTH,OPEN,ARTERIAL,HRM,,,,DM,700004703,3797,2200,2444,2201,2445,0,HALIFAX,HALIFAX,EL,OR,59,59,ST5334,1/6/2002 0:00:00,6/27/2025 13:36:21,,W1,338.587101985788024
337,RRRD,BARRINGTON,ST,BARRINGTON ST,HRM,MORRIS ST,DACOSTA ROW,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,CA,300001817,3797,1300,1388,1301,1389,0,HALIFAX,HALIFAX,EL,OR,59,59,ST3079,12/26/2001 0:00:00,2/6/2025 18:20:14,,W1,143.967080495370283
338,RRRD,BARRINGTON,ST,BARRINGTON ST,HRM,UPPER WATER ST,DR ALFRED WADDELL ST,BOTH,OPEN,LOCAL STREET,HRM,,,,CR,700501110,3797,2040,2098,2041,2099,0,HALIFAX,HALIFAX,EL,OR,59,59,ST51110,2/26/2026 20:40:18,2/27/2026 14:40:58,,W1,107.966281603480468
339,RRRD,BARRINGTON,ST,BARRINGTON ST,HRM,DR ALFRED WADDELL ST,SCOTIAN RD,BOTH,OPEN,LOCAL STREET,HRM,,,,CR,700006389,3797,2100,2126,2101,2127,0,HALIFAX,HALIFAX,EL,OR,59,59,ST51111,1/1/2002 0:00:00,2/27/2026 14:42:05,,W1,30.743991646978046
340,RRRD,BARRINGTON,ST,BARRINGTON ST,HRM,MARJORIE RUSSELL LANE,PUSSER LANE,BOTH,OPEN,ARTERIAL,HRM,,,,CR,700006523,3797,2662,2806,2661,2807,0,HALIFAX,HALIFAX,EL,OR,59,59,ST6446,12/23/2001 0:00:00,6/27/2025 13:36:21,,W2,224.326985205095610
341,RRRD,BARRINGTON,ST,BARRINGTON ST,HRM,PUSSER LANE,NIOBE GATE BRDG,BOTH,OPEN,ARTERIAL,HRM,,,,CR,700006525,3797,2808,2870,2809,2869,0,HALIFAX,HALIFAX,EL,OR,59,59,ST6447,12/23/2001 0:00:00,6/27/2025 13:36:21,,W2,203.867730367925446
342,RRRD,BARRINGTON,ST,BARRINGTON ST,HRM,NORTH MARGINAL RD,DUFFUS ST,BOTH,OPEN,ARTERIAL,HRM,,,,DM,700006223,3797,3308,3470,3309,3471,0,HALIFAX,HALIFAX,EL,OR,59,59,ST6835,12/23/2001 0:00:00,6/27/2025 13:36:21,,W2,372.138620374516279
343,RRRD,UPPER WATER,ST,UPPER WATER ST,HRM,UPPER WATER ST,UPPER WATER ST,FOTD,OPEN,ARTERIAL,HRM,,,,DM,300001336,3798,1768,1802,1769,1803,0,HALIFAX,HALIFAX,EL,OR,850,850,ST14228,12/30/2001 0:00:00,9/9/2025 18:24:06,,W1,85.342953307992019
344,RRRD,UPPER WATER,ST,UPPER WATER ST,HRM,DUKE ST,UPPER WATER ST,FOTD,OPEN,ARTERIAL,HRM,,,,DM,700500292,3798,1850,1922,1851,1923,700011261,HALIFAX,HALIFAX,EL,OR,850,850,ST50292,9/9/2025 18:24:06,9/9/2025 18:24:06,,W1,165.333326393872795
345,RRRD,UPPER WATER,ST,UPPER WATER ST,HRM,PURDYS LANE,PURDYS LANE,BOTH,OPEN,LOCAL STREET,HRM,,,,CR,700500288,3798,1952,1970,1951,1971,700002330,HALIFAX,HALIFAX,EL,OR,850,850,ST50288,9/9/2025 18:24:06,10/29/2025 18:17:28,,W1,51.734986539600932
346,RRRD,UPPER WATER,ST,UPPER WATER ST,HRM,PURDYS LANE,UNDER REVIEW  606 UN,BOTH,OPEN,LOCAL STREET,HRM,,,,CR,700500289,3798,1972,1976,1973,1977,700002331,HALIFAX,HALIFAX,EL,OR,850,850,ST50289,9/9/2025 18:24:06,9/9/2025 18:24:06,,W1,67.365713696769475
347,RRRD,UPPER WATER,ST,UPPER WATER ST,HRM,UPPER WATER ST,PURDYS LANE,FOTD,OPEN,ARTERIAL,HRM,,,,DM,700500293,3798,1924,1950,1925,1949,300001292,HALIFAX,HALIFAX,EL,OR,850,850,ST50293,9/9/2025 18:24:06,9/9/2025 18:24:06,,W1,57.590008591600878
348,RRRD,UPPER WATER,ST,UPPER WATER ST,HRM,UNDER REVIEW  606 UN,COGSWELL ST,BOTH,OPEN,LOCAL STREET,HRM,,,,CR,700500296,3798,1978,2088,1979,2089,300001236,HALIFAX,HALIFAX,EL,OR,850,850,ST50296,9/9/2025 18:24:06,9/9/2025 18:24:06,,W1,176.625495099141517
349,RRRD,GOTTINGEN,ST,GOTTINGEN ST,HRM,BRUNSWICK ST,GOTTINGEN ST,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,DM,700004731,3805,1870,1914,1871,1915,700004730,HALIFAX,HALIFAX,EL,OR,360,360,ST7248,1/1/2002 0:00:00,1/24/2025 17:03:33,,W1,142.023517206998605
350,RRRD,GOTTINGEN,ST,GOTTINGEN ST,HRM,BLOOMFIELD ST,GANGWAY RD,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,CR,700006519,3805,2770,2798,2771,2799,0,HALIFAX,HALIFAX,EL,OR,360,360,ST13092,12/22/2001 0:00:00,2/20/2018 0:00:00,,W2,77.741354246182155
351,RRRD,BRUNSWICK,ST,BRUNSWICK ST,HRM,CARMICHAEL ST,RAINNIE DR,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,DM,700004728,3806,1780,1848,1781,1849,700004729,HALIFAX,HALIFAX,EL,OR,140,140,ST6166,12/30/2001 0:00:00,4/29/2025 14:55:39,,W1,122.979871896659034
352,RRRD,BRUNSWICK,ST,BRUNSWICK ST,HRM,RAINNIE DR,BRUNSWICK ST,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,CA,300001367,3806,1850,1992,1851,2009,0,HALIFAX,HALIFAX,EL,OR,140,140,ST4493,1/1/2002 0:00:00,,,W1,257.259157720975452
353,RRRD,BRUNSWICK,ST,BRUNSWICK ST,HRM,BRUNSWICK ST,PROCTOR ST,BOTH,OPEN,LOCAL STREET,HRM,,,,DM,700004713,3806,2020,2060,2021,2061,0,HALIFAX,HALIFAX,EL,OR,140,140,ST1232,1/1/2002 0:00:00,10/4/2024 15:04:01,,W1,123.304188148563412
354,RRRD,PORTLAND,PL,PORTLAND PL,HRM,PICKARD LANE,GOTTINGEN ST,BOTH,OPEN,LOCAL STREET,HRM,,,,CA,300001157,3810,5456,5474,5457,5475,0,HALIFAX,HALIFAX,EL,OR,656,656,ST11148,1/1/2002 0:00:00,6/13/2014 0:00:00,,W1,41.439154862636386
355,RRRD,HOLLIS,ST,HOLLIS ST,HRM,HOLLIS ST,DUKE ST,FOTD,OPEN,ARTERIAL,HRM,,,,CA,300001301,3815,1850,1924,1851,1925,0,HALIFAX,HALIFAX,EL,OR,405,405,ST14318,1/1/2002 0:00:00,2/6/2025 18:20:14,,W1,160.703022742744224
356,RRRD,SUSIE LAKE,CRES,SUSIE LAKE CRES,HRM,JULIUS BLVD,HOBSONS LAKE DR,FOTD,OPEN,MAJOR COLLECTOR,HRM,7/15/2020 0:00:00,,,CS,700011063,382,240,420,0,0,700011126,BEECHVILLE,BEECHVILLE,EL,NAR,1053,1053,ST48290,8/2/2018 0:00:00,10/4/2024 15:04:01,,WSZ4,682.106105439342514
357,RRRD,SUSIE LAKE,CRES,SUSIE LAKE CRES,HRM,HOBSONS LAKE DR,HORSESHOE LAKE DR,FOTD,OPEN,MAJOR COLLECTOR,HRM,,,,CA,300002709,382,170,238,0,0,700011019,BEECHVILLE,BEECHVILLE,EL,NAR,1053,1053,ST14493,12/4/2001 0:00:00,6/3/2025 11:45:35,,WSZ4,273.565986645835778
358,RRRD,MUMFORD,RD,MUMFORD RD,HRM,MUMFORD RD,ROMANS AVE,FOTD,OPEN,MAJOR COLLECTOR,HRM,,,,CA,300003449,3845,0,0,6999,7009,0,HALIFAX,HALIFAX,NAR,OR,579,579,ST15713,11/5/2001 0:00:00,,,W2,113.229608536419249
359,RRRD,MUMFORD,RD,MUMFORD RD,HRM,UNDER REVIEW  627 UN,OLIVET ST,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,DM,300001380,3845,7018,7048,7019,7049,0,HALIFAX,HALIFAX,EL,OR,579,579,ST8161,12/29/2001 0:00:00,11/20/2017 0:00:00,,W2,203.204593679796233
360,RRRD,COGSWELL,ST,COGSWELL ST,HRM,BAUER ST,NORTH PARK ST,FOTD,OPEN,ARTERIAL,HRM,,,,CA,300001298,3846,0,0,5681,5695,0,HALIFAX,HALIFAX,NAR,OR,192,192,ST3509,7/28/2023 15:02:27,1/3/2025 15:14:10,,W1,50.203972885990282
361,RRRD,COGSWELL,ST,COGSWELL ST,HRM,GOTTINGEN ST,COGSWELL ST,FOTD,OPEN,ARTERIAL,HRM,,,,DM,300001229,3846R,5408,5466,0,0,0,HALIFAX,HALIFAX,EL,NAR,192,192,ST15103,1/1/2002 0:00:00,,,W1,139.996212423511025
362,RRRD,AHERN,AVE,AHERN AVE,HRM,BELL RD,COGSWELL ST,FOTD,OPEN,LOCAL STREET,HRM,,,,DM,700501162,3867,1898,1900,1897,1899,0,HALIFAX,HALIFAX,EL,OR,9,9,ST51186,3/26/2026 12:24:57,3/26/2026 12:24:57,,W1,41.288194490121491
363,RRRD,SALTER,ST,SALTER ST,HRM,SALTYARD WAY,LOWER WATER ST,BOTH,OPEN,LOCAL STREET,HRM,,,,CS,700002515,3871,5062,5098,5063,5099,0,HALIFAX,HALIFAX,EL,OR,736,736,ST1628,3/14/2005 0:00:00,10/4/2024 15:04:01,,W1,99.961539748074031
364,RRRD,SUMMER,ST,SUMMER ST,HRM,SUMMER ST,SUMMER ST,BOTH,OPEN,MINOR COLLECTOR,HRM,,,,CA,300001679,3875,1620,1678,1621,1679,0,HALIFAX,HALIFAX,EL,OR,793,793,ST5620,12/29/2001 0:00:00,5/12/2025 17:53:09,,W1,67.608458833978844
365,RRRD,CEDAR,ST,CEDAR ST,HRM,ROBIE ST,CADMUS CRT,BOTH,OPEN,LOCAL STREET,HRM,,,,CA,300001656,3888,6000,6042,6001,6043,0,HALIFAX,HALIFAX,EL,OR,159,159,ST13223,11/10/2001 0:00:00,9/19/2011 0:00:00,,W1,104.721577561637275
366,RRRD,BISHOP,ST,BISHOP ST,HRM,LOWER WATER ST,IRONSTONE LANE,BOTH,OPEN,LOCAL STREET,HRM,,,,CA,300001686,3891,5100,5128,5101,5129,0,HALIFAX,HALIFAX,EL,OR,97,97,ST6094,12/30/2001 0:00:00,12/17/2019 0:00:00,,W1,61.104354816313084
367,RRRD,MORRIS,ST,MORRIS ST,HRM,MORRIS ST,QUEEN ST,FOTD,OPEN,MINOR COLLECTOR,HRM,,,TL,DM,700004739,3902B,0,0,0,0,0,HALIFAX,HALIFAX,NAR,NAR,576,576,ST14678,12/26/2001 0:00:00,,,W1,59.540932708173557
368,RRRD,CLYDE,ST,CLYDE ST,HRM,BRENTON ST,SOUTH PARK ST,FOTD,OPEN,LOCAL STREET,HRM,,,,CA,300001863,3903,5660,5698,5661,5699,0,HALIFAX,HALIFAX,EL,OR,190,190,ST15161,12/23/2001 0:00:00,,,W1,87.307362185739379
369,RRRD,BEAUFORT,AVE,BEAUFORT AVE,HRM,MERLIN CRT,REGINA TERR,BOTH,OPEN,MINOR COLLECTOR,HRM,,,,CS,300002296,3955,1022,1048,1021,1049,0,HALIFAX,HALIFAX,EL,OR,66,66,ST8500,9/23/2001 0:00:00,12/17/2021 17:54:32,,W1,100.005586836324881
370,RRRD,LADY HAMMOND,RD,LADY HAMMOND RD,HRM,HIGH ST,JOHN PARR DR,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,CA,300000370,3974,6050,6148,6051,6149,300000372,HALIFAX,HALIFAX,EL,OR,463,463,ST9766,10/8/2001 0:00:00,8/3/2018 0:00:00,,W2,179.386382123712735
371,RRRD,VETERANS MEMORIAL,LANE,VETERANS MEMORIAL LANE,HRM,VETERANS MEMORIAL LANE,ROBIE ST,BOTH,OPEN,MINOR COLLECTOR,HRM,,,,CA,300001680,4069,5880,5998,5881,5999,0,HALIFAX,HALIFAX,EL,OR,15467,15467,ST7768,12/13/2001 0:00:00,,,W1,267.406996670698106
372,RRRD,LEGACY,CRT,LEGACY CRT,HRM,LEGACY CRT,END,BOTH,OPEN,LOCAL STREET,HRM,12/15/2003 0:00:00,,,DM,100002636,5174,10,34,11,35,0,LOWER SACKVILLE,LOWER SACKVILLE,EL,OR,15807,15807,ST12851,9/25/2002 0:00:00,10/17/2011 0:00:00,,WSZ2,66.378764747485690
