OBJECTID,FCODE,STR_NAME,STR_TYPE,FULL_NAME,MUN_CODE,FROM_STR,TO_STR,STR_DIR,STR_STATUS,ST_CLASS,OWN,DATE_ACCEPT,STR_REM,FLAGS,PSAB_CODE,FDMID,ROUTE_ID,FROM_LEFT,TO_LEFT,FROM_RIGHT,TO_RIGHT,OLD_FDMID,GSA_LEFT,GSA_RIGHT,PAR_LEFT,PAR_RIGHT,STR_CODE_L,STR_CODE_R,ASSETID,ADDDATE,MODDATE,ORIGIN_DATE,MAINTENANCE,Shape_Length
248,RRRD,WINDMILL,RD,WINDMILL RD,HRM,FAULKNER ST,ARMAMENT RD,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,DM,700004544,3065,141,147,142,148,,DARTMOUTH,DARTMOUTH,NAR,ER,6711,6711,ST14741,9/12/2007 0:00:00,,,E2,65.329891286276919
249,RRRD,WINDMILL,RD,WINDMILL RD,HRM,WINDMILL RD,LYLE ST,FOTD,OPEN,MAJOR COLLECTOR,HRM,,,,DM,200001880,3065R,131,131,0,0,0,DARTMOUTH,DARTMOUTH,OL,NAR,6711,6711,ST16178,11/15/2001 0:00:00,6/25/2025 17:57:50,,E2,33.375520204637169
250,RRRD,WRIGHT,AVE,WRIGHT AVE,HRM,WRIGHT AVE,FINLAY DR,FOTD,OPEN,ARTERIAL,HRM,5/20/2008 0:00:00,,,DM,700003531,3127R,663,721,0,0,,DARTMOUTH,DARTMOUTH,OL,NAR,6719,6719,ST15204,1/11/2007 0:00:00,11/19/2024 16:31:33,,PBRS,275.637031363165022
251,RRRD,WRIGHT,AVE,WRIGHT AVE,HRM,WRIGHT AVE,WRIGHT AVE,FOTD,OPEN,ARTERIAL,HRM,12/20/2006 0:00:00,,,DM,700003511,3127R,723,771,0,0,,DARTMOUTH,DARTMOUTH,OL,NAR,6719,6719,ST15203,1/11/2007 0:00:00,,,PBRS,237.105202188930633
252,RRRDLJ50,NANTUCKET,AVE,NANTUCKET AVE,HRM,NANTUCKET AVE,NANTUCKET AVE,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,DM,700004492,3202,21,47,20,46,0,DARTMOUTH,DARTMOUTH,OL,ER,6478,6478,ST5364,11/21/2001 0:00:00,,,E2,222.636666243283941
253,RRRDLJ60,AKERLEY,BLVD,AKERLEY BLVD,HRM,AKERLEY BLVD,AKERLEY BLVD,FOTD,OPEN,ARTERIAL,HRM,,,,DM,700014108,3210,0,0,132,138,,DARTMOUTH,DARTMOUTH,NAR,ER,6006,6006,ST51327,4/4/2025 12:36:02,9/10/2025 15:58:44,,PBRS,79.293727154666627
254,RRRD,AKERLEY,BLVD,AKERLEY BLVD,HRM,JOHN SAVAGE AVE,AKERLEY BLVD,FOTD,OPEN,ARTERIAL,HRM,,,,CS,700500028,3210,0,0,192,270,,DARTMOUTH,DARTMOUTH,NAR,ER,6006,6006,ST50028,7/16/2025 14:31:48,9/10/2025 15:58:44,,PBRS,311.777937996523178
255,RRRD,AKERLEY,BLVD,AKERLEY BLVD,HRM,AKERLEY BLVD,AKERLEY BLVD,FOTD,BLOC,ARTERIAL,HRM,,,,CS,700013675,3210,0,0,600,622,,DARTMOUTH,DARTMOUTH,NAR,ER,6006,6006,ST50895,11/28/2024 16:05:28,9/10/2025 15:58:44,,WSZ1,77.753392722830796
256,RRRD,AKERLEY,BLVD,AKERLEY BLVD,HRM,AKERLEY BLVD,AKERLEY BLVD,FOTD,BLOC,ARTERIAL,HRM,,,,CS,700013682,3210,0,0,640,652,,DARTMOUTH,DARTMOUTH,NAR,ER,6006,6006,ST50902,11/28/2024 16:08:35,9/10/2025 15:58:44,,WSZ1,47.357621863675121
257,RRRD,AKERLEY,BLVD,AKERLEY BLVD,HRM,AKERLEY BLVD,AKERLEY BLVD,BOTH,BLOC,ARTERIAL,HRM,,,,CS,700013684,3210,655,709,654,710,,DARTMOUTH,DARTMOUTH,OL,ER,6006,6006,ST50904,11/28/2024 16:07:16,9/10/2025 15:58:44,,WSZ1,199.902576386496207
258,RRRDLJ50,AKERLEY,BLVD,AKERLEY BLVD,HRM,WINDMILL RD,AKERLEY BLVD,FOTD,OPEN,ARTERIAL,HRM,,,,DM,700004316,3210,0,0,2,4,700004317,DARTMOUTH,DARTMOUTH,NAR,ER,6006,6006,ST15910,8/13/2007 0:00:00,9/9/2025 18:24:06,,E1,72.656603382513822
259,RRRD,AKERLEY,BLVD,AKERLEY BLVD,HRM,BURNSIDE DR,BURNSIDE DR,FOTD,BLOC,ARTERIAL,HRM,,,,CS,700013676,3210C3,0,0,0,0,,DARTMOUTH,DARTMOUTH,NAR,NAR,6006,6006,ST50896,12/2/2024 15:39:33,1/31/2025 16:39:24,,WSZ1,38.810908714247404
260,RRRD,AKERLEY,BLVD,AKERLEY BLVD,HRM,AKERLEY BLVD,BURNSIDE DR,FOTD,BLOC,ARTERIAL,HRM,,,,CS,700013679,3210C3,0,0,624,636,,DARTMOUTH,DARTMOUTH,NAR,ER,6006,6006,ST50899,12/2/2024 15:59:06,1/31/2025 16:39:24,,WSZ1,41.089615170318304
261,RRRD,AKERLEY,BLVD,AKERLEY BLVD,HRM,BURNSIDE DR,AKERLEY BLVD,FOTD,OPEN,ARTERIAL,HRM,,,,CS,700013689,3210C3,0,0,638,638,,DARTMOUTH,DARTMOUTH,NAR,ER,6006,6006,ST50909,12/2/2024 15:41:16,1/31/2025 16:39:24,,WSZ1,10.195646606150529
262,RRRD,AKERLEY,BLVD,AKERLEY BLVD,HRM,AKERLEY BLVD,BURNSIDE DR,FOTD,BLOC,ARTERIAL,HRM,,,,CS,700013680,3210C3,0,0,0,0,,DARTMOUTH,DARTMOUTH,NAR,NAR,6006,6006,ST50900,12/2/2024 15:41:31,1/31/2025 16:39:24,,WSZ1,29.616711453860560
263,RRRD,AKERLEY,BLVD,AKERLEY BLVD,HRM,AKERLEY BLVD,AKERLEY BLVD,FOTD,BLOC,ARTERIAL,HRM,,,,CS,700013681,3210C3,629,641,0,0,,DARTMOUTH,DARTMOUTH,OL,NAR,6006,6006,ST50901,12/2/2024 16:00:15,1/31/2025 16:39:24,,WSZ1,41.241828685781648
264,RRRDLJ70,ILSLEY,AVE,ILSLEY AVE,HRM,ILSLEY AVE,ILSLEY AVE,FOTD,OPEN,LOCAL STREET,HRM,,,,DM,200001419,3213,0,0,166,188,0,DARTMOUTH,DARTMOUTH,NAR,ER,6330,6330,ST16189,11/23/2001 0:00:00,,,E1,81.420699411472754
265,RRRDLJ60,ILSLEY,AVE,ILSLEY AVE,HRM,MACDONALD AVE,ILSLEY AVE,BOTH,OPEN,LOCAL STREET,HRM,,,,DM,200000724,3213,133,133,138,146,0,DARTMOUTH,DARTMOUTH,OL,ER,6330,6330,ST3969,11/23/2001 0:00:00,,,E1,115.363851475137139
266,RRRDLJ60,PRINCESS MARGARET,BLVD,PRINCESS MARGARET BLVD,HRM,PRINCESS MARGARET BLVD,PRINCESS MARGARET BLVD,FOTD,OPEN,LOCAL STREET,HRM,,,,DM,700501231,3226R,0,0,402,406,,DARTMOUTH,DARTMOUTH,NAR,ER,6545,6545,ST51270,4/16/2026 14:27:38,4/16/2026 14:27:38,,E1,35.481335722543449
