"OBJECTID","STR_CODE","STR_NAME","STR_TYPE","GSA_NAME","FULL_NAME","STR_STATUS","OWN","DATE_ACCEPT","PST_CLASS","SOURCE","FDMID","FROM_STREET","TO_STREET","SHAPE_LENGTH","SHORT_DESC","LONG_DESC","SURF_MAT","SDI","PAVE_WIDTH","RATE_DATE","NUM_CURB","WIDTH2","BASEVAL","SURFVAL","OLD_FDMID","DATE_RET","DATE_REV","DATE_ACT","SYS_DATE"
"6465","0","ARBUTUS","AVE","HERRING COVE","ARBUTUS AVE","OPEN","HRM","","LOCAL STREET","DM","300003068","","","300.98773911","ARBUTUS AVE (HERRING COVE RD TO LOCKWOOD AVE)","ARBUTUS AVE (HERRING COVE)","ASPHALT","8.51100000","6.10000000","2013-07-31","0","9.10000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-05","2022-09-12"
"6466","0","WILLOWHILL","RG","WAVERLEY","WILLOWHILL RG","OPEN","HRM","2004-11-25","LOCAL STREET","DM","700002339","","","292.42221905","WILLOWHILL RG (SPIDER LAKE RD TO FERNLILLY PL)","WILLOWHILL RG (WAVERLEY)","ASPHALT","8.98000000","6.40000000","2015-11-02","0","9.40000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2004-11-10","2022-09-12"
"6467","0","ROXTON","RD","HALIFAX","ROXTON RD","OPEN","HRM","","LOCAL STREET","CA","300002306","","","82.15251021","ROXTON RD (ROBIE ST TO MARLBOROUGH AVE)","ROXTON RD (HALIFAX)","BST","8.94500000","9.00000000","2015-09-14","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-09-23","2020-11-09"
"6487","0","NEWBERY","ST","HALIFAX","NEWBERY ST","OPEN","HRM","","LOCAL STREET","DM","700005064","","","60.02190101","","NEWBERY ST (HALIFAX)","ASPHALT","9.84400000","11.00000000","2015-03-12","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-16","2020-11-09"
"6505","0","ROBIE","ST","HALIFAX","ROBIE ST","OPEN","HRM","","MINOR COLLECTOR","DM","700005025","","","33.83313896","","ROBIE ST (HALIFAX)","ASPHALT","8.07900000","9.00000000","2013-04-29","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-10-08","2020-11-09"
"6516","0","MARCS","WAY","DARTMOUTH","MARCS WAY","OPEN","HRM","","LOCAL STREET","DM","200002229","","","42.74962891","","MARCS WAY (DARTMOUTH)","ASPHALT","3.97900000","10.00000000","2015-07-21","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-01","2020-11-09"
"6468","0","HENNESSEY","ST","HALIFAX","HENNESSEY ST","OPEN","HRM","","LOCAL STREET","CA","300000550","","","142.81401630","HENNESSEY ST (ISLEVILLE ST TO AGRICOLA ST)","HENNESSEY ST (HALIFAX)","ASPHALT","5.24800000","8.00000000","2013-04-25","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-10-12","2020-11-09"
"6469","0","INGLIS","ST","HALIFAX","INGLIS ST","OPEN","HRM","","MAJOR COLLECTOR","CA","300002166","","","61.75751566","INGLIS ST (BLAND ST TO BRUSSELS ST)","INGLIS ST (HALIFAX)","ASPHALT","6.82500000","11.00000000","2016-11-29","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-11","2020-11-09"
"6470","0","DUTCH VILLAGE","RD","HALIFAX","DUTCH VILLAGE RD","OPEN","HRM","","MAJOR COLLECTOR","CA","300000636","","","40.16960336","DUTCH VILLAGE RD (ALMA CRES TO PERCY ST)","DUTCH VILLAGE RD (HALIFAX)","ASPHALT","9.84400000","13.00000000","2014-01-17","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-11","2020-11-09"
"6471","0","GASTON","RD","DARTMOUTH","GASTON RD","OPEN","HRM","","MINOR COLLECTOR","DM","200002200","","","214.71386829","GASTON RD (PORTLAND ST TO REGENCY DR)","GASTON RD (DARTMOUTH)","ASPHALT","9.84400000","9.00000000","2015-03-03","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-05","2020-11-09"
"6472","0","MACDONALD","AVE","DARTMOUTH","MACDONALD AVE","OPEN","HRM","","MINOR COLLECTOR","DM","200000703","","","268.47713544","MACDONALD AVE (THORNHILL DR TO ILSLEY AVE)","MACDONALD AVE (DARTMOUTH)","ASPHALT","5.78000000","10.00000000","2014-10-27","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-26","2020-11-09"
"6473","0","CHIPPAWA","ST","HAMMONDS PLAINS","CHIPPAWA ST","OPEN","HRM","2006-04-01","LOCAL STREET","DM","600000054","","","154.09680670","CHIPPAWA ST (CREE ST TO KIPAWA CRES)","CHIPPAWA ST (HAMMONDS PLAINS)","ASPHALT","9.71100000","6.40000000","2013-11-20","0","9.40000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-06-18","2020-11-09"
"6474","0","HILLSIDE","AVE","LOWER SACKVILLE","HILLSIDE AVE","OPEN","HRM","","MINOR COLLECTOR","DM","100001349","","","354.90398346","","HILLSIDE AVE (LOWER SACKVILLE)","ASPHALT","8.48000000","9.10000000","2014-09-08","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-08-01","2020-11-09"
