"OBJECTID","STR_CODE","STR_NAME","STR_TYPE","GSA_NAME","FULL_NAME","STR_STATUS","OWN","DATE_ACCEPT","PST_CLASS","SOURCE","FDMID","FROM_STREET","TO_STREET","SHAPE_LENGTH","SHORT_DESC","LONG_DESC","SURF_MAT","SDI","PAVE_WIDTH","RATE_DATE","NUM_CURB","WIDTH2","BASEVAL","SURFVAL","OLD_FDMID","DATE_RET","DATE_REV","DATE_ACT","SYS_DATE"
"1","9999","AKERLEY","BLVD","DARTMOUTH","AKERLEY BLVD","OPEN","HRM","","ARTERIAL","DM","700004213","","","40.12701308","AKERLEY BLVD (JOHN SAVAGE AVE TO JOHN SAVAGE AVE)","AKERLEY BLVD (DARTMOUTH)","","","","","","","","","0.00000000","","2025-03-05","2001-11-23","2025-01-21"
"2","9999","YANKEETOWN","RD","HAMMONDS PLAINS","YANKEETOWN RD","OPEN","HRM","2006-04-01","LOCAL STREET","DM","700012036","","","164.03784478","YANKEETOWN RD (CAPER CRT TO SASA LANE)","YANKEETOWN RD (HAMMONDS PLAINS)","","","","","","","","","700001782.00000000","","2025-03-05","2023-03-14","2023-04-04"
"3","9999","HIDEAWAY","TRL","BROOKSIDE","HIDEAWAY TRL","OPEN","HRM","2024-07-15","LOCAL STREET","CS","700011426","","","687.59850663","HIDEAWAY TRL (THICKET DR TO END)","HIDEAWAY TRL (BROOKSIDE)","","","","","","","","","","","2025-03-05","2021-04-29","2024-10-08"
"4","9999","LEONAMARIE","DR","DARTMOUTH","LEONAMARIE DR","OPEN","HRM","2024-05-23","LOCAL STREET","CS","700012152","","","294.05543894","LEONAMARIE DR (MOUNT HOPE AVE TO NOAH AVE)","LEONAMARIE DR (DARTMOUTH)","","","","","","","","","","","2025-03-05","2023-08-15","2024-10-08"
"5","9999","LEONAMARIE","DR","DARTMOUTH","LEONAMARIE DR","OPEN","HRM","2024-05-23","LOCAL STREET","CS","700012159","","","75.93006783","","","","","","","","","","","","2024-05-30","2025-03-05","2023-08-15","2024-10-08"
"6","9999","TERRASTONE","RG","DARTMOUTH","TERRASTONE RG","OPEN","HRM","2025-02-04","","SD","700013487","","","348.65072063","","","","","","","","","","","700012369.00000000","2025-02-13","2025-03-05","2023-10-12","2025-02-13"
"7","9999","JULIUS","BLVD","BEECHVILLE","JULIUS BLVD","OPEN","HRM","2024-10-10","","SD","700011797","","","411.45703057","JULIUS BLVD (CHAIN LAKE DR TO DUGGER MCNEIL DR)","JULIUS BLVD (BEECHVILLE)","","","","","","","","","","","2025-03-05","2022-06-27","2024-10-23"
"8","9999","JULIUS","BLVD","BEECHVILLE","JULIUS BLVD","OPEN","HRM","2024-10-10","","SD","700011798","","","488.72628627","JULIUS BLVD (DUGGER MCNEIL DR TO SUSIE LAKE CRES)","JULIUS BLVD (BEECHVILLE)","","","","","","","","","","","2025-03-05","2022-06-27","2024-10-23"
"9","9999","DUGGER MCNEIL","DR","BEECHVILLE","DUGGER MCNEIL DR","OPEN","HRM","2024-10-10","","SD","700011800","","","370.50226515","DUGGER MCNEIL DR (JULIUS BLVD TO END)","DUGGER MCNEIL DR (BEECHVILLE)","","","","","","","","","","","2025-03-05","2022-06-27","2024-10-23"
"10","9999","NOAH","AVE","DARTMOUTH","NOAH AVE","OPEN","HRM","2024-05-23","LOCAL STREET","CS","700012153","","","299.68697931","NOAH AVE (LEONAMARIE DR TO KASSI LANE)","NOAH AVE (DARTMOUTH)","","","","","","","","","","","2025-03-05","2023-08-15","2024-10-08"
"11","9999","FLEETWOOD","DR","FALL RIVER","FLEETWOOD DR","OPEN","HRM","2024-11-01","","SD","700012161","","","1009.13360909","","","","","","","","","","","","2024-09-13","2025-03-05","2023-08-15","2025-02-13"
"12","9999","KASSI","LANE","DARTMOUTH","KASSI LANE","OPEN","HRM","2024-05-23","LOCAL STREET","CS","700012155","","","284.24469872","KASSI LANE (LEONAMARIE DR TO NOAH AVE)","KASSI LANE (DARTMOUTH)","","","","","","","","","","","2025-03-05","2023-08-15","2024-10-08"
"13","9999","LEONAMARIE","DR","DARTMOUTH","LEONAMARIE DR","OPEN","HRM","2024-05-23","LOCAL STREET","CS","700012158","","","79.45654637","LEONAMARIE DR (NOAH AVE TO KASSI LANE)","LEONAMARIE DR (DARTMOUTH)","","","","","","","","","","","2025-03-05","2023-08-15","2024-10-08"
"14","9999","BRUNELLO","BLVD","TIMBERLEA","BRUNELLO BLVD","OPEN","HRM","2024-10-31","","CS","700013283","","","275.42726795","","","","","","","","","","","700013402.00000000","2025-01-13","2025-03-05","2024-02-16","2025-01-13"
"15","9999","ST MARGARETS BAY","RD","HUBLEY","ST MARGARETS BAY RD","OPEN","HRM","2022-06-01","ARTERIAL","DM","700013300","","","202.90598529","ST MARGARETS BAY RD (BUMBLEBEE LANE TO BIRDSONG LANE)","ST MARGARETS BAY RD (HUBLEY)","","","","","","","","","700001144.00000000","","2025-03-05","2024-03-14","2024-03-14"
"21","9999","HIGGINS","AVE","BEECHVILLE","HIGGINS AVE","OPEN","HRM","2024-07-26","MINOR COLLECTOR","SD","700013308","","","98.07966425","","","","","","","","","","","","2024-08-09","2025-03-05","2024-03-20","2024-08-09"
"22","9999","HIGGINS","AVE","BEECHVILLE","HIGGINS AVE","OPEN","HRM","2024-07-26","MINOR COLLECTOR","SD","700013309","","","300.22858057","","","","","","","","","","","","2024-08-09","2025-03-05","2024-03-20","2024-08-09"
"23","9999","FLATROCK","CRES","BEECHVILLE","FLATROCK CRES","OPEN","HRM","2024-07-26","LOCAL STREET","SD","700013314","","","110.20407608","","","","","","","","","","","","2024-08-09","2025-03-05","2024-03-20","2024-08-09"
"16","9999","SIMMONDS","RD","NORTH PRESTON","SIMMONDS RD","OPEN","HRM","","LOCAL STREET","DM","700013304","","","121.08923635","SIMMONDS RD (INEZ LANE TO WILFRED JOSEPH DR)","SIMMONDS RD (NORTH PRESTON)","","","","","","","","","700000469.00000000","","2025-03-05","2024-03-18","2024-03-18"
"17","9999","GOUGH","CL","BEECHVILLE","GOUGH CL","OPEN","HRM","2024-07-26","LOCAL STREET","SD","700013311","","","95.98128666","GOUGH CL (HIGGINS AVE TO END)","GOUGH CL (BEECHVILLE)","","","","","","","","","","","2025-03-05","2024-03-20","2024-08-09"
"18","9999","ST MARGARETS BAY","RD","BEECHVILLE","ST MARGARETS BAY RD","OPEN","HRM","","ARTERIAL","CA","700013310","","","84.93412906","ST MARGARETS BAY RD (HIGGINS AVE TO SHEPPARDS RUN)","ST MARGARETS BAY RD (BEECHVILLE)","","","","","","","","","300003392.00000000","","2025-03-05","2024-03-20","2024-03-21"
"19","9999","GRANITE","TERR","BEECHVILLE","GRANITE TERR","OPEN","HRM","2024-07-26","LOCAL STREET","SD","700013313","","","154.69066194","GRANITE TERR (HIGGINS AVE TO END)","GRANITE TERR (BEECHVILLE)","","","","","","","","","","","2025-03-05","2024-03-20","2024-08-09"
"20","9999","HIGGINS","AVE","BEECHVILLE","HIGGINS AVE","OPEN","HRM","2022-09-09","MINOR COLLECTOR","SD","700013312","","","115.10262748","HIGGINS AVE (GROSSE ST TO FOG LANE)","HIGGINS AVE (BEECHVILLE)","","","","","","","","","700011714.00000000","","2025-03-05","2024-03-20","2024-08-09"
"24","0","PRESTON","ST","HALIFAX","PRESTON ST","OPEN","HRM","","LOCAL STREET","CA","300001662","","","78.38718990","PRESTON ST (SHIRLEY ST TO PEPPERELL ST)","PRESTON ST (HALIFAX)","ASPHALT","1.91000000","9.00000000","2015-10-15","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-09","2020-11-09"
"25","0","HAMMONDS PLAINS","RD","STILLWATER LAKE","HAMMONDS PLAINS RD","OPEN","HRM","2006-04-01","ARTERIAL","DM","600000090","","","155.60473862","HAMMONDS PLAINS RD (STILLWATER LAKE DR TO HAMMONDS PLAINS RD)","HAMMONDS PLAINS RD (STILLWATER LAKE)","ASPHALT","9.84400000","11.00000000","2013-11-21","0","14.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-09","2020-11-09"
"26","0","WENTWORTH","ST","DARTMOUTH","WENTWORTH ST","OPEN","HRM","","LOCAL STREET","DM","200000563","","","51.36071785","WENTWORTH ST (CHURCH ST TO PARK AVE)","WENTWORTH ST (DARTMOUTH)","ASPHALT","5.13400000","10.00000000","2012-05-10","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-07","2020-11-09"
"27","0","WILLOWHILL","RG","WAVERLEY","WILLOWHILL RG","OPEN","HRM","2007-04-13","LOCAL STREET","DM","700003703","","","250.89226865","WILLOWHILL RG (FOXTAIL CRT TO BUNCHBERRY LANE)","WILLOWHILL RG (WAVERLEY)","ASPHALT","8.35700000","6.40000000","2015-11-02","0","9.40000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2004-11-10","2022-09-12"
"28","0","ALFRED","ST","DARTMOUTH","ALFRED ST","OPEN","HRM","","LOCAL STREET","DM","200000290","","","116.88613608","ALFRED ST (COURTNEY RD TO CATHERINE ST)","ALFRED ST (DARTMOUTH)","ASPHALT","1.68800000","11.00000000","2015-11-09","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-19","2020-11-09"
"29","0","FAULKNER","ST","DARTMOUTH","FAULKNER ST","OPEN","HRM","","LOCAL STREET","DM","200002611","","","103.34955438","FAULKNER ST (WILLIAMS ST TO DICKSON ST)","FAULKNER ST (DARTMOUTH)","ASPHALT","3.14700000","11.00000000","2013-09-23","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-14","2020-11-09"
"30","0","BLUE MOUNTAIN","DR","BEDFORD","BLUE MOUNTAIN DR","OPEN","HRM","","MINOR COLLECTOR","CR","100002526","","","208.70623941","BLUE MOUNTAIN DR (LARRY UTECK BLVD TO BLUE MOUNTAIN DR)","BLUE MOUNTAIN DR (BEDFORD)","ASPHALT","6.68800000","6.10000000","2014-09-10","0","9.10000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-06-14","2022-01-18"
"31","0","LYNNETT","RD","HALIFAX","LYNNETT RD","OPEN","HRM","","LOCAL STREET","DM","300002645","","","229.17253548","LYNNETT RD (FORBES ST TO END)","LYNNETT RD (HALIFAX)","BST","7.74300000","7.00000000","2014-07-23","0","0.00000000","0.00000000","0.00000000","0.00000000","2016-11-01","2020-02-25","2001-12-19","2023-10-05"
"286","0","DUKE","ST","BEDFORD","DUKE ST","OPEN","HRM","","ARTERIAL","DM","700005676","","","148.39146498","","DUKE ST (BEDFORD)","ASPHALT","9.84400000","19.40000000","2013-07-25","0","22.40000000","0.00000000","0.00000000","","","2025-03-05","2007-10-22","2020-11-09"
"2011","0","GLEBE","ST","HALIFAX","GLEBE ST","OPEN","HRM","","LOCAL STREET","DM","700005077","","","43.35974857","","GLEBE ST (HALIFAX)","BST","8.11200000","11.00000000","2013-04-22","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-09-27","2020-11-09"
"2177","0","WINDSOR","ST","HALIFAX","WINDSOR ST","OPEN","HRM","","ARTERIAL","DM","700004927","","","129.76329576","","WINDSOR ST (HALIFAX)","ASPHALT","9.84400000","9.00000000","2012-10-16","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-16","2020-11-09"
"3120","0","ALBERT","ST","HALIFAX","ALBERT ST","OPEN","HRM","","LOCAL STREET","DM","700005090","","","28.83909825","","ALBERT ST (HALIFAX)","ASPHALT","9.02300000","8.40000000","2015-09-29","2","0.00000000","0.00000000","0.00000000","","","2025-03-05","2007-09-26","2020-11-09"
"32","0","NOVA","CRT","DARTMOUTH","NOVA CRT","OPEN","HRM","","LOCAL STREET","DM","200001994","","","134.78322612","NOVA CRT (GREEN RD TO CHEBUCTO LANE)","NOVA CRT (DARTMOUTH)","ASPHALT","3.06300000","9.00000000","2013-09-30","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-14","2020-11-09"
"33","0","BRAEMOUNT","DR","HALIFAX","BRAEMOUNT DR","OPEN","HRM","","LOCAL STREET","CA","300000448","","","194.44191158","BRAEMOUNT DR (LACEWOOD DR TO END)","BRAEMOUNT DR (HALIFAX)","ASPHALT","7.12700000","8.00000000","2013-07-18","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-05","2020-11-09"
"34","0","WINDMILL","RD","DARTMOUTH","WINDMILL RD","OPEN","HRM","","MAJOR COLLECTOR","DM","200000278","","","59.15673851","WINDMILL RD (PINEWOOD DR TO PARKSTONE RD)","WINDMILL RD (DARTMOUTH)","ASPHALT","7.68900000","12.00000000","2014-10-14","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-15","2020-11-09"
"35","0","BASINVIEW","DR","BEDFORD","BASINVIEW DR","OPEN","HRM","","MINOR COLLECTOR","DM","100001225","","","246.36263122","BASINVIEW DR (MITCHELL CRT TO ALPINE CRT)","BASINVIEW DR (BEDFORD)","ASPHALT","10.00000000","9.00000000","2016-01-26","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-09-17","2020-11-09"
"36","0","ELLIS","CRT","DARTMOUTH","ELLIS CRT","OPEN","HRM","","LOCAL STREET","DM","200002593","","","105.88389216","ELLIS CRT (WAVERLEY RD TO END)","ELLIS CRT (DARTMOUTH)","ASPHALT","6.54800000","9.00000000","2014-11-06","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-10-22","2022-09-12"
"37","0","SUSSEX","ST","HALIFAX","SUSSEX ST","OPEN","HRM","","","DM","700005152","","","25.38841247","SUSSEX ST (SUSSEX ST TO OLD SAMBRO RD)","SUSSEX ST (HALIFAX)","ASPHALT","8.94500000","9.00000000","2014-07-23","2","0.00000000","0.00000000","0.00000000","","","2025-03-05","2007-09-26","2022-09-12"
"38","0","LAURELCREST","DR","EASTERN PASSAGE","LAURELCREST DR","OPEN","HRM","2016-06-24","LOCAL STREET","DM","200002066","","","140.50174767","LAURELCREST DR (KALEIGH DR TO BOYNE CRT)","LAURELCREST DR (EASTERN PASSAGE)","ASPHALT","14.02743053","8.65000000","2016-07-27","0","11.65000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-09-13","2022-09-12"
"39","0","ROCKMANOR","DR","BEDFORD","ROCKMANOR DR","OPEN","HRM","","LOCAL STREET","DM","100001203","","","245.20974298","ROCKMANOR DR (ROCKY LAKE DR TO REDBANK RD)","ROCKMANOR DR (BEDFORD)","ASPHALT","7.90300000","9.10000000","2014-08-21","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-10-25","2020-11-09"
"40","0","KAYE","ST","LOWER SACKVILLE","KAYE ST","OPEN","HRM","","LOCAL STREET","DM","100000449","","","162.67232420","KAYE ST (OAKDALE DR TO PINEHILL DR)","KAYE ST (LOWER SACKVILLE)","ASPHALT","7.23700000","9.10000000","2015-07-09","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-08-01","2020-11-09"
"41","0","BROOKSHIRE","CRT","BEDFORD","BROOKSHIRE CRT","OPEN","HRM","","LOCAL STREET","FA","700007717","","","61.84893885","","BROOKSHIRE CRT (BEDFORD)","ASPHALT","7.61300000","9.00000000","2014-09-10","2","0.00000000","0.00000000","0.00000000","100001751.00000000","","2025-03-05","2011-03-09","2020-11-09"
"42","0","REBECCA","DR","BEAVER BANK","REBECCA DR","OPEN","HRM","2005-02-17","LOCAL STREET","CR","700003476","","","152.61318717","REBECCA DR (CHATEAU LANE TO WESSEX HILL)","REBECCA DR (BEAVER BANK)","ASPHALT","8.97900000","6.10000000","2014-08-26","0","9.10000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2003-11-07","2020-11-09"
"43","0","PEVERILL","CRT","BEDFORD","PEVERILL CRT","OPEN","HRM","","LOCAL STREET","CA","100001705","","","81.92490110","PEVERILL CRT (OCEANVIEW DR TO END)","PEVERILL CRT (BEDFORD)","ASPHALT","7.85800000","7.00000000","2014-09-11","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-09-14","2020-11-09"
"44","0","SULLIVANS","HILL","BEDFORD","SULLIVANS HILL","OPEN","HRM","","LOCAL STREET","DM","100001818","","","173.20883783","SULLIVANS HILL (BEDFORD HWY TO HIGH ST)","SULLIVANS HILL (BEDFORD)","ASPHALT","7.74500000","6.10000000","2013-11-20","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-09-18","2020-11-09"
"45","0","CANTERBURY","ST","DARTMOUTH","CANTERBURY ST","OPEN","HRM","","LOCAL STREET","DM","200000799","","","102.10045560","CANTERBURY ST (BERWICK ST TO HIGHWOOD ST)","CANTERBURY ST (DARTMOUTH)","ASPHALT","8.21100000","7.00000000","2015-07-21","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-02","2020-11-09"
"128","0","LYNN","DR","DARTMOUTH","LYNN DR","OPEN","HRM","","LOCAL STREET","DM","200000845","","","167.21626821","","LYNN DR (DARTMOUTH)","ASPHALT","7.47800000","9.10000000","2014-09-07","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-05","2020-11-09"
"3444","0","BEDFORD","HWY","HALIFAX","BEDFORD HWY","OPEN","HRM","","ARTERIAL","DM","700004936","","","18.64928781","","BEDFORD HWY (HALIFAX)","ASPHALT","5.84400000","15.00000000","2013-05-08","2","0.00000000","0.00000000","0.00000000","","","2025-03-05","2007-09-24","2020-11-09"
"3450","0","DAMASCUS","RD","BEDFORD","DAMASCUS RD","OPEN","HRM","2007-02-09","ARTERIAL","DM","700005694","","","82.19150831","","DAMASCUS RD (BEDFORD)","ASPHALT","8.45700000","7.90000000","2014-08-22","2","0.00000000","0.00000000","0.00000000","","","2025-03-05","2007-10-22","2020-11-09"
"46","0","DEWOLF","CRT","BEDFORD","DEWOLF CRT","OPEN","HRM","","LOCAL STREET","DM","100000331","","","121.82581005","DEWOLF CRT (ADMIRAL COVE DR TO END)","DEWOLF CRT (BEDFORD)","ASPHALT","6.88900000","9.00000000","2014-08-22","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-09-28","2020-11-09"
"47","0","MATADOR","CRT","LOWER SACKVILLE","MATADOR CRT","OPEN","HRM","","LOCAL STREET","DM","100002123","","","187.60781419","","MATADOR CRT (LOWER SACKVILLE)","ASPHALT","4.31000000","9.10000000","2013-11-05","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-07-17","2020-11-09"
"48","0","LAKECREST","DR","MIDDLE SACKVILLE","LAKECREST DR","OPEN","HRM","1997-11-20","LOCAL STREET","DM","100002334","","","422.88730618","LAKECREST DR (LYLEWOOD DR TO BIRCH HILL CRT)","LAKECREST DR (MIDDLE SACKVILLE)","ASPHALT","8.71300000","6.40000000","2014-08-08","0","9.40000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-06-20","2020-11-09"
"49","0","CONNOLLY","ST","HALIFAX","CONNOLLY ST","OPEN","HRM","","LOCAL STREET","DM","300001199","","","78.95424848","CONNOLLY ST (LONDON ST TO LIVERPOOL ST)","CONNOLLY ST (HALIFAX)","ASPHALT","4.68700000","9.00000000","2015-09-23","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-10-21","2020-11-09"
"50","0","QUINN","ST","HALIFAX","QUINN ST","OPEN","HRM","","LOCAL STREET","CA","300001834","","","60.16551648","QUINN ST (QUINPOOL RD TO CHURCHILL DR)","QUINN ST (HALIFAX)","ASPHALT","9.84400000","9.00000000","2014-12-15","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-04","2020-11-09"
"51","0","KIDSTON","RD","HALIFAX","KIDSTON RD","OPEN","HRM","","LOCAL STREET","CA","300002612","","","44.91954375","KIDSTON RD (OLIE ST TO END)","KIDSTON RD (HALIFAX)","BST","5.50900000","7.00000000","2015-07-30","0","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-19","2022-09-12"
"52","0","WOODILL","ST","HALIFAX","WOODILL ST","OPEN","HRM","","LOCAL STREET","CA","300001086","","","123.28162364","WOODILL ST (MAYNARD ST TO AGRICOLA ST)","WOODILL ST (HALIFAX)","ASPHALT","6.91100000","9.00000000","2014-09-25","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-23","2020-11-09"
"53","0","DIANA GRACE","AVE","DARTMOUTH","DIANA GRACE AVE","OPEN","HRM","","LOCAL STREET","DM","200000924","","","86.10076083","","DIANA GRACE AVE (DARTMOUTH)","ASPHALT","5.81000000","10.00000000","2014-05-27","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-09-26","2022-09-12"
"54","0","BLAND","ST","HALIFAX","BLAND ST","OPEN","HRM","","LOCAL STREET","CA","300002154","","","165.68336245","BLAND ST (INGLIS ST TO VICTORIA RD)","BLAND ST (HALIFAX)","ASPHALT","8.12500000","9.00000000","2015-10-07","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-11","2020-11-09"
"55","0","CAMDEN","ST","BEDFORD","CAMDEN ST","OPEN","HRM","","LOCAL STREET","DM","100002173","","","166.08545204","CAMDEN ST (WARDOUR ST TO FORT SACKVILLE RD)","CAMDEN ST (BEDFORD)","ASPHALT","8.44900000","9.10000000","2014-09-15","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-10-19","2020-11-09"
"56","0","NORTH","ST","HALIFAX","NORTH ST","OPEN","HRM","","ARTERIAL","CA","300000809","","","74.96662042","NORTH ST (CREIGHTON ST TO MAYNARD ST)","NORTH ST (HALIFAX)","ASPHALT","7.43100000","10.00000000","2014-08-11","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-23","2020-11-09"
"57","0","GREENWOOD","AVE","HALIFAX","GREENWOOD AVE","OPEN","HRM","","LOCAL STREET","CA","300002361","","","163.89147494","","GREENWOOD AVE (HALIFAX)","BST","7.57600000","9.00000000","2015-10-08","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-09-23","2020-11-09"
"58","0","COBURG","RD","HALIFAX","COBURG RD","OPEN","HRM","","LOCAL STREET","DM","300002123","","","33.95214791","COBURG RD (BIRCHDALE AVE TO END)","COBURG RD (HALIFAX)","ASPHALT","2.25500000","9.00000000","2015-10-08","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-12","2020-11-09"
"59","0","FOUR MILE","LANE","HALIFAX","FOUR MILE LANE","OPEN","HRM","2009-07-24","LOCAL STREET","DM","700006957","","","113.58316962","","FOUR MILE LANE (HALIFAX)","ASPHALT","9.02300000","9.00000000","2015-09-23","2","0.00000000","37827.22959312","43961.37493255","","","2025-03-05","2009-02-11","2020-11-09"
"3718","0","ALBERT","ST","HALIFAX","ALBERT ST","OPEN","HRM","","LOCAL STREET","DM","700005088","","","34.13210690","","ALBERT ST (HALIFAX)","ASPHALT","9.02300000","8.40000000","2015-09-29","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-22","2020-11-09"
"3737","0","ASTER","CRT","HALIFAX","ASTER CRT","OPEN","HRM","","LOCAL STREET","FA","700007660","","","59.68607456","","ASTER CRT (HALIFAX)","ASPHALT","7.73600000","9.00000000","2015-09-01","2","0.00000000","0.00000000","0.00000000","300003252.00000000","","2025-03-05","2001-12-04","2020-11-09"
"3742","0","MOSS","CRT","HALIFAX","MOSS CRT","OPEN","HRM","","LOCAL STREET","FA","700007398","","","30.53335903","","MOSS CRT (HALIFAX)","ASPHALT","8.08400000","8.00000000","2015-10-05","2","0.00000000","0.00000000","0.00000000","300002748.00000000","","2025-03-05","2001-12-04","2020-11-09"
"6691","0","YOUNG","ST","HALIFAX","YOUNG ST","OPEN","HRM","","ARTERIAL","DM","700005055","","","41.33495267","","YOUNG ST (HALIFAX)","ASPHALT","6.57800000","15.00000000","2014-08-12","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-17","2020-11-09"
"60","0","REGWOOD","DR","WINDSOR JUNCTION","REGWOOD DR","OPEN","HRM","","LOCAL STREET","DM","100000789","","","152.09528522","REGWOOD DR (COBEQUID RD TO MEGHAN CRT)","REGWOOD DR (WINDSOR JUNCTION)","ASPHALT","9.11200000","6.40000000","2015-06-25","0","9.40000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-27","2020-11-09"
"61","0","ISLANDVIEW","DR","DARTMOUTH","ISLANDVIEW DR","OPEN","HRM","","LOCAL STREET","DM","200002719","","","130.22842116","ISLANDVIEW DR (BRAEMAR DR TO END)","ISLANDVIEW DR (DARTMOUTH)","ASPHALT","8.34500000","6.00000000","2014-11-06","1","7.50000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-10-23","2022-09-12"
"62","0","PORTLAND","ST","DARTMOUTH","PORTLAND ST","OPEN","HRM","","LOCAL STREET","DM","200000594","","","89.94239443","PORTLAND ST (WENTWORTH ST TO DUNDAS ST)","PORTLAND ST (DARTMOUTH)","ASPHALT","6.83200000","10.00000000","2015-09-03","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-07","2020-11-09"
"63","0","RIVERSIDE","DR","LOWER SACKVILLE","RIVERSIDE DR","OPEN","HRM","","MINOR COLLECTOR","CA","100000644","","","137.43203311","RIVERSIDE DR (ASPEN CRES TO SYCAMORE LANE)","RIVERSIDE DR (LOWER SACKVILLE)","ASPHALT","9.84400000","9.10000000","2013-12-18","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-07-13","2020-11-09"
"64","0","GUY","ST","DARTMOUTH","GUY ST","OPEN","HRM","","LOCAL STREET","DM","200000500","","","82.34604637","GUY ST (LYNGBY AVE TO OVERDALE LANE)","GUY ST (DARTMOUTH)","ASPHALT","8.35500000","10.00000000","2014-11-04","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-13","2020-11-09"
"65","0","ELAINE","DR","BEAVER BANK","ELAINE DR","OPEN","HRM","","LOCAL STREET","DM","100000410","","","157.75464379","ELAINE DR (BARRETT RD TO MACPHEE CRES)","ELAINE DR (BEAVER BANK)","ASPHALT","6.27900000","9.10000000","2016-11-24","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-10","2020-11-09"
"66","0","FRASER","DR","WAVERLEY","FRASER DR","OPEN","HRM","","LOCAL STREET","DM","100000827","","","47.19046652","FRASER DR (ROCKY LAKE DR TO MCDONALD RD)","FRASER DR (WAVERLEY)","ASPHALT","6.03400000","9.10000000","2013-10-30","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-27","2020-11-09"
"67","0","STARFLOWER","WAY","BROOKSIDE","STARFLOWER WAY","OPEN","HRM","2013-02-06","LOCAL STREET","DM","700008514","","","992.91986578","STARFLOWER WAY (THICKET DR TO THICKET DR)","STARFLOWER WAY (BROOKSIDE)","ASPHALT","9.68900000","6.40000000","2015-08-04","0","9.40000000","0.00000000","0.00000000","700006784.00000000","","2025-03-05","2013-02-08","2020-11-09"
"68","0","MONTEBELLO","DR","DARTMOUTH","MONTEBELLO DR","OPEN","HRM","","MINOR COLLECTOR","DM","200000197","","","99.53870051","MONTEBELLO DR (VENICE CRT TO LOMBARDY LANE)","MONTEBELLO DR (DARTMOUTH)","ASPHALT","8.61300000","8.00000000","2015-11-02","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-10-22","2022-09-12"
