"ASSET_ID","GROUP_ID","ACQ_TYPE","PID","ACQ_COST","ASSET_TYPE","OWNER","DISPOSAL","MAIN_CLASS","ACQ_DATE","DISP_DATE","DISP_TYPE","ACQDISPSOURCE","LAND_NAME","HECTARES","SERV_CAT","PARK_ID","PARK_NAME","REPL_COST","HRWC_FLAG","ASSET_RECORD_COUNT","HRM_PARCEL_ADDDATE","HRM_PARCEL_MODDATE"
"2046","260","LAND","40111999","0.00000000","LAND","HRM","","OPN","1997-04-10","","","Transaction Summary","OAKMOUNT HOUSE PARK","0.014","G","260","OAKMOUNT HOUSE PARK","","","1","2007-11-06","2017-06-27"
"2048","3492","LAND","40566341","0.00000000","LAND","HRM","","OPN","1991-02-01","","","Transaction Summary","RIDGEVALE PARK 1 & BUFFER","3.163","G","3492","RIDGEVALE DRIVE PARK 1","","","1","2007-11-06","2017-06-27"
"2049","4009","LAND","40628604","0.00000000","LAND","HRM","","OPN","1993-03-01","","","Transaction Summary","RIDGEVALE DR PARK 2","0.263","G","4041","RIDGEVALE DRIVE PARK 2","","","1","2007-11-06","2017-06-27"
"2051","1992","","40113532","","LAND","HRM","","VAC","","","","","NORTH ST","0.180","H","","","","","1","2007-11-06","2017-03-24"
"2052","3492","LAND","40113276","0.00000000","LAND","HRM","","OPN","1985-10-01","","","Transaction Summary","RIDGEVALE PARK 1 & BUFFER","0.925","G","3492","RIDGEVALE DRIVE PARK 1","","","1","2007-11-06","2017-06-27"
"2053","3492","LAND","40348385","0.00000000","LAND","HRM","","OPN","1985-10-01","","","Transaction Summary","RIDGEVALE PARK 1 & BUFFER","0.022","G","3492","RIDGEVALE DRIVE PARK 1","","","1","2007-11-06","2017-06-27"
"2054","1995","LAND","40106874","0.00000000","LAND","HRM","","OPN","1963-12-01","","","Transaction Summary","FISH HATCHERY PARK","0.626","G","1995","FISH HATCHERY PARK","","","1","2007-11-06","2017-06-27"
"2055","1996","LAND","40112302","0.00000000","LAND","HRM","","VAC","1979-12-01","","","Transaction Summary"," ","0.250","H","","","","","1","2007-11-06","2017-03-24"
"2057","1998","LAND","40355463","0.00000000","LAND","HRM","","ITR","1985-10-01","","","Transaction Summary","RIDGEVALE DR IN TRANSITION","0.301","H","","","","","1","2007-11-06","2017-03-24"
"2058","2001","LAND","40601890","0.00000000","LAND","HRM","","OPN","1992-07-01","","","Transaction Summary","SCOTT MANOR HOUSE","0.236","G","2001","SCOTT MANOR HOUSE","","","1","2007-11-06","2017-06-27"
